ProductName,QuantityOnHand,UnitCost,InventoryDate
Adjustable Race,875,$0.27,2012-05-14
Bearing Ball,875,$0.21,2012-05-14
BB Ball Bearing,700,$0.21,2012-05-14
Headset Ball Bearings,700,$0.26,2012-05-14
Blade,700,$0.20,2012-05-14
LL Crankarm,438,$0.20,2012-05-14
ML Crankarm,438,$0.19,2012-05-14
HL Crankarm,438,$0.24,2012-05-14
Chainring Bolts,875,$0.21,2012-05-14
Chainring Nut,875,$0.17,2012-05-14
Chainring,875,$0.29,2012-05-14
Crown Race,875,$0.19,2012-05-14
Chain Stays,875,$0.65,2012-05-14
Decal 1,875,$0.18,2012-05-14
Decal 2,875,$0.24,2012-05-14
Down Tube,700,$0.21,2012-05-14
Mountain End Caps,875,$0.21,2012-05-14
Road End Caps,875,$0.20,2012-05-14
Touring End Caps,875,$0.29,2012-05-14
Fork End,700,$0.16,2012-05-14
Freewheel,438,$0.23,2012-05-14
Flat Washer 1,875,$0.19,2012-05-14
Flat Washer 6,875,$0.20,2012-05-14
Flat Washer 2,875,$0.24,2012-05-14
Flat Washer 9,875,$0.22,2012-05-14
Flat Washer 4,875,$0.20,2012-05-14
Flat Washer 3,875,$0.20,2012-05-14
Flat Washer 8,875,$0.31,2012-05-14
Flat Washer 5,875,$0.20,2012-05-14
Flat Washer 7,875,$0.23,2012-05-14
Fork Crown,700,$0.20,2012-05-14
Front Derailleur Cage,700,$0.21,2012-05-14
Front Derailleur Linkage,700,$0.20,2012-05-14
Guide Pulley,700,$0.30,2012-05-14
LL Grip Tape,700,$0.53,2012-05-14
ML Grip Tape,700,$0.19,2012-05-14
HL Grip Tape,700,$0.22,2012-05-14
Thin-Jam Hex Nut 9,875,$0.23,2012-05-14
Thin-Jam Hex Nut 10,875,$0.30,2012-05-14
Thin-Jam Hex Nut 1,875,$0.39,2012-05-14
Thin-Jam Hex Nut 2,875,$0.51,2012-05-14
Thin-Jam Hex Nut 15,875,$0.20,2012-05-14
Thin-Jam Hex Nut 16,875,$0.21,2012-05-14
Thin-Jam Hex Nut 5,875,$0.20,2012-05-14
Thin-Jam Hex Nut 6,875,$0.42,2012-05-14
Thin-Jam Hex Nut 3,875,$0.22,2012-05-14
Thin-Jam Hex Nut 4,875,$0.27,2012-05-14
Thin-Jam Hex Nut 13,875,$0.18,2012-05-14
Thin-Jam Hex Nut 14,875,$0.37,2012-05-14
Thin-Jam Hex Nut 7,875,$0.19,2012-05-14
Thin-Jam Hex Nut 8,875,$0.25,2012-05-14
Thin-Jam Hex Nut 12,875,$0.30,2012-05-14
Thin-Jam Hex Nut 11,875,$0.42,2012-05-14
Hex Nut 5,875,$0.22,2012-05-14
Hex Nut 6,875,$0.34,2012-05-14
Hex Nut 16,875,$0.29,2012-05-14
Hex Nut 17,875,$0.21,2012-05-14
Hex Nut 7,875,$0.22,2012-05-14
Hex Nut 8,875,$0.22,2012-05-14
Hex Nut 9,875,$0.18,2012-05-14
Hex Nut 22,875,$0.20,2012-05-14
Hex Nut 23,875,$0.40,2012-05-14
Hex Nut 12,875,$0.28,2012-05-14
Hex Nut 13,875,$0.20,2012-05-14
Hex Nut 1,875,$0.24,2012-05-14
Hex Nut 10,875,$0.21,2012-05-14
Hex Nut 11,875,$0.37,2012-05-14
Hex Nut 2,875,$0.19,2012-05-14
Hex Nut 20,875,$0.19,2012-05-14
Hex Nut 21,875,$0.32,2012-05-14
Hex Nut 3,875,$0.25,2012-05-14
Hex Nut 14,875,$0.29,2012-05-14
Hex Nut 15,875,$0.26,2012-05-14
Hex Nut 4,875,$0.39,2012-05-14
Hex Nut 18,875,$0.31,2012-05-14
Hex Nut 19,875,$0.19,2012-05-14
Handlebar Tube,700,$0.18,2012-05-14
Head Tube,700,$0.28,2012-05-14
LL Hub,438,$0.51,2012-05-14
HL Hub,438,$0.23,2012-05-14
Keyed Washer,875,$0.23,2012-05-14
External Lock Washer 3,875,$0.20,2012-05-14
External Lock Washer 4,875,$0.20,2012-05-14
External Lock Washer 9,875,$0.25,2012-05-14
External Lock Washer 5,875,$0.42,2012-05-14
External Lock Washer 7,875,$0.23,2012-05-14
External Lock Washer 6,875,$0.21,2012-05-14
External Lock Washer 1,875,$0.24,2012-05-14
External Lock Washer 8,875,$0.24,2012-05-14
External Lock Washer 2,875,$0.23,2012-05-14
Internal Lock Washer 3,875,$0.17,2012-05-14
Internal Lock Washer 4,875,$0.18,2012-05-14
Internal Lock Washer 9,875,$0.25,2012-05-14
Internal Lock Washer 5,875,$0.16,2012-05-14
Internal Lock Washer 7,875,$0.24,2012-05-14
Internal Lock Washer 6,875,$0.16,2012-05-14
Internal Lock Washer 10,875,$0.26,2012-05-14
Internal Lock Washer 1,875,$0.26,2012-05-14
Internal Lock Washer 8,875,$0.43,2012-05-14
Internal Lock Washer 2,875,$0.30,2012-05-14
Thin-Jam Lock Nut 9,875,$0.22,2012-05-14
Thin-Jam Lock Nut 10,875,$0.19,2012-05-14
Thin-Jam Lock Nut 1,875,$0.22,2012-05-14
Thin-Jam Lock Nut 2,875,$0.29,2012-05-14
Thin-Jam Lock Nut 15,875,$0.36,2012-05-14
Thin-Jam Lock Nut 16,875,$0.19,2012-05-14
Thin-Jam Lock Nut 5,875,$0.29,2012-05-14
Thin-Jam Lock Nut 6,875,$0.20,2012-05-14
Thin-Jam Lock Nut 3,875,$0.31,2012-05-14
Thin-Jam Lock Nut 4,875,$0.20,2012-05-14
Thin-Jam Lock Nut 13,875,$0.17,2012-05-14
Thin-Jam Lock Nut 14,875,$0.30,2012-05-14
Thin-Jam Lock Nut 7,875,$0.20,2012-05-14
Thin-Jam Lock Nut 8,875,$0.19,2012-05-14
Thin-Jam Lock Nut 12,875,$0.18,2012-05-14
Thin-Jam Lock Nut 11,875,$0.28,2012-05-14
Lock Nut 5,875,$0.24,2012-05-14
Lock Nut 6,875,$0.24,2012-05-14
Lock Nut 16,875,$0.17,2012-05-14
Lock Nut 17,875,$0.20,2012-05-14
Lock Nut 7,875,$0.29,2012-05-14
Lock Nut 8,875,$0.34,2012-05-14
Lock Nut 9,875,$0.17,2012-05-14
Lock Nut 22,875,$0.27,2012-05-14
Lock Nut 23,875,$0.18,2012-05-14
Lock Nut 12,875,$0.19,2012-05-14
Lock Nut 13,875,$0.34,2012-05-14
Lock Nut 1,875,$0.20,2012-05-14
Lock Nut 10,875,$0.32,2012-05-14
Lock Nut 11,875,$0.25,2012-05-14
Lock Nut 2,875,$0.25,2012-05-14
Lock Nut 20,875,$0.21,2012-05-14
Lock Nut 21,875,$0.35,2012-05-14
Lock Nut 3,875,$0.27,2012-05-14
Lock Nut 14,875,$0.20,2012-05-14
Lock Nut 15,875,$0.18,2012-05-14
Lock Nut 4,875,$0.31,2012-05-14
Lock Nut 19,875,$0.24,2012-05-14
Lock Nut 18,875,$0.28,2012-05-14
Lock Ring,875,$0.28,2012-05-14
Lower Head Race,875,$0.19,2012-05-14
Lock Washer 4,875,$0.32,2012-05-14
Lock Washer 5,875,$0.22,2012-05-14
Lock Washer 10,875,$0.21,2012-05-14
Lock Washer 6,875,$0.38,2012-05-14
Lock Washer 13,875,$0.17,2012-05-14
Lock Washer 8,875,$0.20,2012-05-14
Lock Washer 1,875,$0.19,2012-05-14
Lock Washer 7,875,$0.35,2012-05-14
Lock Washer 12,875,$0.24,2012-05-14
Lock Washer 2,875,$0.25,2012-05-14
Lock Washer 9,875,$0.24,2012-05-14
Lock Washer 3,875,$0.27,2012-05-14
Lock Washer 11,875,$0.23,2012-05-14
Metal Angle,875,$0.19,2012-05-14
Metal Bar 1,875,$0.19,2012-05-14
Metal Bar 2,875,$0.29,2012-05-14
Metal Plate 2,875,$0.34,2012-05-14
Metal Plate 1,875,$0.19,2012-05-14
Metal Plate 3,875,$0.17,2012-05-14
Metal Sheet 2,875,$0.18,2012-05-14
Metal Sheet 3,875,$0.28,2012-05-14
Metal Sheet 7,875,$0.26,2012-05-14
Metal Sheet 4,875,$0.33,2012-05-14
Metal Sheet 5,875,$0.23,2012-05-14
Metal Sheet 6,875,$0.22,2012-05-14
Metal Sheet 1,875,$0.19,2012-05-14
Metal Tread Plate,875,$0.22,2012-05-14
LL Nipple,875,$0.20,2012-05-14
HL Nipple,875,$0.44,2012-05-14
Paint - Black,52,$0.21,2012-05-14
Paint - Red,52,$0.20,2012-05-14
Paint - Silver,52,$0.20,2012-05-14
Paint - Blue,52,$0.26,2012-05-14
Paint - Yellow,52,$0.29,2012-05-14
Pinch Bolt,875,$0.26,2012-05-14
Cup-Shaped Race,875,$0.24,2012-05-14
Cone-Shaped Race,875,$0.19,2012-05-14
Reflector,875,$0.41,2012-05-14
LL Mountain Rim,700,$0.21,2012-05-14
ML Mountain Rim,700,$0.21,2012-05-14
HL Mountain Rim,700,$0.28,2012-05-14
LL Road Rim,700,$0.21,2012-05-14
ML Road Rim,700,$0.23,2012-05-14
HL Road Rim,700,$0.20,2012-05-14
Touring Rim,700,$0.23,2012-05-14
LL Mountain Seat Assembly,438,$0.25,2012-05-14
ML Mountain Seat Assembly,438,$0.18,2012-05-14
HL Mountain Seat Assembly,438,$0.21,2012-05-14
LL Road Seat Assembly,438,$0.34,2012-05-14
ML Road Seat Assembly,438,$0.21,2012-05-14
HL Road Seat Assembly,438,$0.22,2012-05-14
LL Touring Seat Assembly,438,$0.30,2012-05-14
