ProductName,QuantityOnHand,UnitCost,InventoryDate
Adjustable Race,875,$0.27,2012-05-13
Bearing Ball,875,$0.21,2012-05-13
BB Ball Bearing,700,$0.20,2012-05-13
Headset Ball Bearings,700,$0.26,2012-05-13
Blade,700,$0.20,2012-05-13
LL Crankarm,438,$0.20,2012-05-13
ML Crankarm,438,$0.19,2012-05-13
HL Crankarm,438,$0.23,2012-05-13
Chainring Bolts,875,$0.21,2012-05-13
Chainring Nut,875,$0.17,2012-05-13
Chainring,875,$0.29,2012-05-13
Crown Race,875,$0.19,2012-05-13
Chain Stays,875,$0.65,2012-05-13
Decal 1,875,$0.18,2012-05-13
Decal 2,875,$0.24,2012-05-13
Down Tube,700,$0.21,2012-05-13
Mountain End Caps,875,$0.21,2012-05-13
Road End Caps,875,$0.20,2012-05-13
Touring End Caps,875,$0.29,2012-05-13
Fork End,700,$0.17,2012-05-13
Freewheel,438,$0.23,2012-05-13
Flat Washer 1,875,$0.19,2012-05-13
Flat Washer 6,875,$0.20,2012-05-13
Flat Washer 2,875,$0.24,2012-05-13
Flat Washer 9,875,$0.22,2012-05-13
Flat Washer 4,875,$0.20,2012-05-13
Flat Washer 3,875,$0.20,2012-05-13
Flat Washer 8,875,$0.31,2012-05-13
Flat Washer 5,875,$0.20,2012-05-13
Flat Washer 7,875,$0.23,2012-05-13
Fork Crown,700,$0.20,2012-05-13
Front Derailleur Cage,700,$0.21,2012-05-13
Front Derailleur Linkage,700,$0.20,2012-05-13
Guide Pulley,700,$0.30,2012-05-13
LL Grip Tape,700,$0.53,2012-05-13
ML Grip Tape,700,$0.19,2012-05-13
HL Grip Tape,700,$0.22,2012-05-13
Thin-Jam Hex Nut 9,875,$0.23,2012-05-13
Thin-Jam Hex Nut 10,875,$0.30,2012-05-13
Thin-Jam Hex Nut 1,875,$0.39,2012-05-13
Thin-Jam Hex Nut 2,875,$0.51,2012-05-13
Thin-Jam Hex Nut 15,875,$0.20,2012-05-13
Thin-Jam Hex Nut 16,875,$0.21,2012-05-13
Thin-Jam Hex Nut 5,875,$0.20,2012-05-13
Thin-Jam Hex Nut 6,875,$0.42,2012-05-13
Thin-Jam Hex Nut 3,875,$0.22,2012-05-13
Thin-Jam Hex Nut 4,875,$0.27,2012-05-13
Thin-Jam Hex Nut 13,875,$0.18,2012-05-13
Thin-Jam Hex Nut 14,875,$0.37,2012-05-13
Thin-Jam Hex Nut 7,875,$0.19,2012-05-13
Thin-Jam Hex Nut 8,875,$0.25,2012-05-13
Thin-Jam Hex Nut 12,875,$0.30,2012-05-13
Thin-Jam Hex Nut 11,875,$0.42,2012-05-13
Hex Nut 5,875,$0.22,2012-05-13
Hex Nut 6,875,$0.34,2012-05-13
Hex Nut 16,875,$0.29,2012-05-13
Hex Nut 17,875,$0.21,2012-05-13
Hex Nut 7,875,$0.22,2012-05-13
Hex Nut 8,875,$0.22,2012-05-13
Hex Nut 9,875,$0.18,2012-05-13
Hex Nut 22,875,$0.20,2012-05-13
Hex Nut 23,875,$0.40,2012-05-13
Hex Nut 12,875,$0.28,2012-05-13
Hex Nut 13,875,$0.20,2012-05-13
Hex Nut 1,875,$0.24,2012-05-13
Hex Nut 10,875,$0.21,2012-05-13
Hex Nut 11,875,$0.37,2012-05-13
Hex Nut 2,875,$0.19,2012-05-13
Hex Nut 20,875,$0.19,2012-05-13
Hex Nut 21,875,$0.32,2012-05-13
Hex Nut 3,875,$0.25,2012-05-13
Hex Nut 14,875,$0.29,2012-05-13
Hex Nut 15,875,$0.26,2012-05-13
Hex Nut 4,875,$0.39,2012-05-13
Hex Nut 18,875,$0.31,2012-05-13
Hex Nut 19,875,$0.18,2012-05-13
Handlebar Tube,700,$0.18,2012-05-13
Head Tube,700,$0.28,2012-05-13
LL Hub,438,$0.51,2012-05-13
HL Hub,438,$0.23,2012-05-13
Keyed Washer,875,$0.23,2012-05-13
External Lock Washer 3,875,$0.20,2012-05-13
External Lock Washer 4,875,$0.20,2012-05-13
External Lock Washer 9,875,$0.25,2012-05-13
External Lock Washer 5,875,$0.42,2012-05-13
External Lock Washer 7,875,$0.23,2012-05-13
External Lock Washer 6,875,$0.21,2012-05-13
External Lock Washer 1,875,$0.24,2012-05-13
External Lock Washer 8,875,$0.24,2012-05-13
External Lock Washer 2,875,$0.23,2012-05-13
Internal Lock Washer 3,875,$0.17,2012-05-13
Internal Lock Washer 4,875,$0.18,2012-05-13
Internal Lock Washer 9,875,$0.25,2012-05-13
Internal Lock Washer 5,875,$0.16,2012-05-13
Internal Lock Washer 7,875,$0.24,2012-05-13
Internal Lock Washer 6,875,$0.16,2012-05-13
Internal Lock Washer 10,875,$0.26,2012-05-13
Internal Lock Washer 1,875,$0.26,2012-05-13
Internal Lock Washer 8,875,$0.43,2012-05-13
Internal Lock Washer 2,875,$0.30,2012-05-13
Thin-Jam Lock Nut 9,875,$0.22,2012-05-13
Thin-Jam Lock Nut 10,875,$0.19,2012-05-13
Thin-Jam Lock Nut 1,875,$0.22,2012-05-13
Thin-Jam Lock Nut 2,875,$0.29,2012-05-13
Thin-Jam Lock Nut 15,875,$0.36,2012-05-13
Thin-Jam Lock Nut 16,875,$0.19,2012-05-13
Thin-Jam Lock Nut 5,875,$0.29,2012-05-13
Thin-Jam Lock Nut 6,875,$0.19,2012-05-13
Thin-Jam Lock Nut 3,875,$0.31,2012-05-13
Thin-Jam Lock Nut 4,875,$0.20,2012-05-13
Thin-Jam Lock Nut 13,875,$0.17,2012-05-13
Thin-Jam Lock Nut 14,875,$0.30,2012-05-13
Thin-Jam Lock Nut 7,875,$0.20,2012-05-13
Thin-Jam Lock Nut 8,875,$0.19,2012-05-13
Thin-Jam Lock Nut 12,875,$0.18,2012-05-13
Thin-Jam Lock Nut 11,875,$0.28,2012-05-13
Lock Nut 5,875,$0.24,2012-05-13
Lock Nut 6,875,$0.24,2012-05-13
Lock Nut 16,875,$0.17,2012-05-13
Lock Nut 17,875,$0.20,2012-05-13
Lock Nut 7,875,$0.29,2012-05-13
Lock Nut 8,875,$0.34,2012-05-13
Lock Nut 9,875,$0.17,2012-05-13
Lock Nut 22,875,$0.27,2012-05-13
Lock Nut 23,875,$0.18,2012-05-13
Lock Nut 12,875,$0.19,2012-05-13
Lock Nut 13,875,$0.35,2012-05-13
Lock Nut 1,875,$0.20,2012-05-13
Lock Nut 10,875,$0.32,2012-05-13
Lock Nut 11,875,$0.25,2012-05-13
Lock Nut 2,875,$0.25,2012-05-13
Lock Nut 20,875,$0.21,2012-05-13
Lock Nut 21,875,$0.35,2012-05-13
Lock Nut 3,875,$0.28,2012-05-13
Lock Nut 14,875,$0.20,2012-05-13
Lock Nut 15,875,$0.18,2012-05-13
Lock Nut 4,875,$0.32,2012-05-13
Lock Nut 19,875,$0.24,2012-05-13
Lock Nut 18,875,$0.28,2012-05-13
Lock Ring,875,$0.28,2012-05-13
Lower Head Race,875,$0.19,2012-05-13
Lock Washer 4,875,$0.32,2012-05-13
Lock Washer 5,875,$0.22,2012-05-13
Lock Washer 10,875,$0.21,2012-05-13
Lock Washer 6,875,$0.38,2012-05-13
Lock Washer 13,875,$0.17,2012-05-13
Lock Washer 8,875,$0.20,2012-05-13
Lock Washer 1,875,$0.19,2012-05-13
Lock Washer 7,875,$0.35,2012-05-13
Lock Washer 12,875,$0.24,2012-05-13
Lock Washer 2,875,$0.25,2012-05-13
Lock Washer 9,875,$0.24,2012-05-13
Lock Washer 3,875,$0.27,2012-05-13
Lock Washer 11,875,$0.23,2012-05-13
Metal Angle,875,$0.19,2012-05-13
Metal Bar 1,875,$0.19,2012-05-13
Metal Bar 2,875,$0.28,2012-05-13
Metal Plate 2,875,$0.34,2012-05-13
Metal Plate 1,875,$0.19,2012-05-13
Metal Plate 3,875,$0.17,2012-05-13
Metal Sheet 2,875,$0.18,2012-05-13
Metal Sheet 3,875,$0.28,2012-05-13
Metal Sheet 7,875,$0.26,2012-05-13
Metal Sheet 4,875,$0.33,2012-05-13
Metal Sheet 5,875,$0.23,2012-05-13
Metal Sheet 6,875,$0.22,2012-05-13
Metal Sheet 1,875,$0.19,2012-05-13
Metal Tread Plate,875,$0.22,2012-05-13
LL Nipple,875,$0.20,2012-05-13
HL Nipple,875,$0.44,2012-05-13
Paint - Black,52,$0.21,2012-05-13
Paint - Red,52,$0.20,2012-05-13
Paint - Silver,52,$0.20,2012-05-13
Paint - Blue,52,$0.26,2012-05-13
Paint - Yellow,52,$0.29,2012-05-13
Pinch Bolt,875,$0.26,2012-05-13
Cup-Shaped Race,875,$0.24,2012-05-13
Cone-Shaped Race,875,$0.19,2012-05-13
Reflector,875,$0.41,2012-05-13
LL Mountain Rim,700,$0.21,2012-05-13
ML Mountain Rim,700,$0.21,2012-05-13
HL Mountain Rim,700,$0.28,2012-05-13
LL Road Rim,700,$0.21,2012-05-13
ML Road Rim,700,$0.23,2012-05-13
HL Road Rim,700,$0.20,2012-05-13
Touring Rim,700,$0.23,2012-05-13
LL Mountain Seat Assembly,438,$0.25,2012-05-13
ML Mountain Seat Assembly,438,$0.18,2012-05-13
HL Mountain Seat Assembly,438,$0.21,2012-05-13
LL Road Seat Assembly,438,$0.34,2012-05-13
ML Road Seat Assembly,438,$0.22,2012-05-13
HL Road Seat Assembly,438,$0.22,2012-05-13
LL Touring Seat Assembly,438,$0.30,2012-05-13
ML Touring Seat Assembly,438,$0.36,2012-05-13
HL Touring Seat Assembly,438,$0.19,2012-05-13
LL Spindle/Axle,438,$0.19,2012-05-13
HL Spindle/Axle,438,$0.37,2012-05-13
LL Shell,700,$0.26,2012-05-13
HL Shell,700,$0.22,2012-05-13
Spokes,875,$0.26,2012-05-13
Seat Lug,875,$0.18,2012-05-13
Stem,438,$0.17,2012-05-13
Seat Post,438,$0.45,2012-05-13
Steerer,438,$0.25,2012-05-13
Seat Stays,700,$0.20,2012-05-13
Seat Tube,438,$0.22,2012-05-13
Top Tube,438,$0.30,2012-05-13
Tension Pulley,700,$0.39,2012-05-13
Rear Derailleur Cage,438,$0.38,2012-05-13
"HL Road Frame - Black, 58",438,$0.18,2012-05-13
"HL Road Frame - Red, 58",438,$0.21,2012-05-13
"Sport-100 Helmet, Red",4,$11.28,2012-05-13
"Sport-100 Helmet, Red",4,$12.92,2012-05-13
"Sport-100 Helmet, Red",4,$9.40,2012-05-13
"Sport-100 Helmet, Black",4,$11.00,2012-05-13
"Sport-100 Helmet, Black",4,$11.89,2012-05-13
"Sport-100 Helmet, Black",4,$10.09,2012-05-13
"Mountain Bike Socks, M",4,$3.55,2012-05-13
"Mountain Bike Socks, L",4,$3.09,2012-05-13
"Sport-100 Helmet, Blue",4,$11.03,2012-05-13
"Sport-100 Helmet, Blue",4,$10.42,2012-05-13
"Sport-100 Helmet, Blue",4,$9.86,2012-05-13
AWC Logo Cap,4,$3.37,2012-05-13
AWC Logo Cap,4,$3.12,2012-05-13
AWC Logo Cap,4,$2.67,2012-05-13
"Long-Sleeve Logo Jersey, S",4,$35.40,2012-05-13
"Long-Sleeve Logo Jersey, S",4,$30.82,2012-05-13
"Long-Sleeve Logo Jersey, S",4,$26.52,2012-05-13
"Long-Sleeve Logo Jersey, M",4,$20.47,2012-05-13
"Long-Sleeve Logo Jersey, M",4,$20.40,2012-05-13
"Long-Sleeve Logo Jersey, M",4,$14.83,2012-05-13
"Long-Sleeve Logo Jersey, L",4,$19.24,2012-05-13
"Long-Sleeve Logo Jersey, L",4,$19.09,2012-05-13
"Long-Sleeve Logo Jersey, L",4,$15.50,2012-05-13
"Long-Sleeve Logo Jersey, XL",4,$18.65,2012-05-13
"Long-Sleeve Logo Jersey, XL",4,$18.24,2012-05-13
"Long-Sleeve Logo Jersey, XL",4,$17.79,2012-05-13
"HL Road Frame - Red, 62",408,$505.15,2012-05-13
"HL Road Frame - Red, 62",391,$552.39,2012-05-13
"HL Road Frame - Red, 62",438,$513.88,2012-05-13
"HL Road Frame - Red, 44",411,$513.72,2012-05-13
"HL Road Frame - Red, 44",378,$539.87,2012-05-13
"HL Road Frame - Red, 44",438,$495.50,2012-05-13
"HL Road Frame - Red, 48",438,$716.05,2012-05-13
"HL Road Frame - Red, 48",390,$526.75,2012-05-13
"HL Road Frame - Red, 48",438,$526.22,2012-05-13
"HL Road Frame - Red, 52",438,$675.11,2012-05-13
"HL Road Frame - Red, 52",438,$696.34,2012-05-13
"HL Road Frame - Red, 52",438,$964.76,2012-05-13
"HL Road Frame - Red, 56",438,$770.88,2012-05-13
"HL Road Frame - Red, 56",438,$707.69,2012-05-13
"HL Road Frame - Red, 56",438,$805.38,2012-05-13
"LL Road Frame - Black, 58",457,$130.63,2012-05-13
"LL Road Frame - Black, 58",458,$120.43,2012-05-13
"LL Road Frame - Black, 58",438,$129.63,2012-05-13
"LL Road Frame - Black, 60",437,$170.43,2012-05-13
"LL Road Frame - Black, 60",390,$116.20,2012-05-13
"LL Road Frame - Black, 60",438,$137.52,2012-05-13
"LL Road Frame - Black, 62",438,$162.85,2012-05-13
"LL Road Frame - Black, 62",438,$153.99,2012-05-13
"LL Road Frame - Black, 62",438,$172.64,2012-05-13
"LL Road Frame - Red, 44",438,$123.96,2012-05-13
"LL Road Frame - Red, 44",495,$126.78,2012-05-13
"LL Road Frame - Red, 48",382,$129.11,2012-05-13
"LL Road Frame - Red, 48",442,$121.44,2012-05-13
"LL Road Frame - Red, 52",431,$119.28,2012-05-13
"LL Road Frame - Red, 52",464,$121.39,2012-05-13
"LL Road Frame - Red, 58",438,$164.86,2012-05-13
"LL Road Frame - Red, 58",438,$181.75,2012-05-13
"LL Road Frame - Red, 60",474,$123.38,2012-05-13
"LL Road Frame - Red, 60",381,$113.43,2012-05-13
"LL Road Frame - Red, 62",466,$120.20,2012-05-13
"LL Road Frame - Red, 62",411,$135.67,2012-05-13
"ML Road Frame - Red, 44",438,$367.35,2012-05-13
"ML Road Frame - Red, 48",383,$271.80,2012-05-13
"ML Road Frame - Red, 52",408,$242.61,2012-05-13
"ML Road Frame - Red, 58",438,$321.35,2012-05-13
"ML Road Frame - Red, 60",438,$365.48,2012-05-13
"LL Road Frame - Black, 44",412,$125.27,2012-05-13
"LL Road Frame - Black, 44",477,$112.04,2012-05-13
"LL Road Frame - Black, 44",438,$130.12,2012-05-13
"LL Road Frame - Black, 48",438,$180.31,2012-05-13
"LL Road Frame - Black, 48",438,$176.88,2012-05-13
"LL Road Frame - Black, 48",438,$203.79,2012-05-13
"LL Road Frame - Black, 52",449,$122.03,2012-05-13
"LL Road Frame - Black, 52",375,$114.82,2012-05-13
"LL Road Frame - Black, 52",438,$129.87,2012-05-13
"HL Mountain Frame - Silver, 42",414,$460.49,2012-05-13
"HL Mountain Frame - Silver, 42",400,$479.61,2012-05-13
"HL Mountain Frame - Silver, 42",438,$393.06,2012-05-13
"HL Mountain Frame - Silver, 44",438,$646.44,2012-05-13
"HL Mountain Frame - Silver, 48",486,$607.24,2012-05-13
"HL Mountain Frame - Silver, 46",393,$482.02,2012-05-13
"HL Mountain Frame - Silver, 46",402,$522.34,2012-05-13
"HL Mountain Frame - Silver, 46",438,$425.98,2012-05-13
"HL Mountain Frame - Black, 42",478,$412.03,2012-05-13
"HL Mountain Frame - Black, 42",376,$431.65,2012-05-13
"HL Mountain Frame - Black, 42",438,$410.62,2012-05-13
"HL Mountain Frame - Black, 44",421,$589.13,2012-05-13
"HL Mountain Frame - Black, 48",438,$553.86,2012-05-13
"HL Mountain Frame - Black, 46",438,$655.35,2012-05-13
"HL Mountain Frame - Black, 46",438,$606.73,2012-05-13
"HL Mountain Frame - Black, 46",438,$638.74,2012-05-13
"HL Mountain Frame - Black, 38",438,$468.06,2012-05-13
"HL Mountain Frame - Black, 38",382,$504.07,2012-05-13
"HL Mountain Frame - Black, 38",438,$401.63,2012-05-13
"HL Mountain Frame - Silver, 38",377,$496.56,2012-05-13
"HL Mountain Frame - Silver, 38",480,$480.81,2012-05-13
"HL Mountain Frame - Silver, 38",438,$430.09,2012-05-13
"Road-150 Red, 62",91,$527.49,2012-05-13
"Road-150 Red, 44",84,$540.40,2012-05-13
"Road-150 Red, 48",84,$520.95,2012-05-13
"Road-150 Red, 52",84,$498.90,2012-05-13
"Road-150 Red, 56",88,$522.25,2012-05-13
"Road-450 Red, 58",84,$602.91,2012-05-13
"Road-450 Red, 60",86,$596.70,2012-05-13
"Road-450 Red, 44",80,$533.29,2012-05-13
"Road-450 Red, 48",99,$591.90,2012-05-13
"Road-450 Red, 52",77,$584.17,2012-05-13
"Road-650 Red, 58",77,$108.70,2012-05-13
"Road-650 Red, 58",88,$285.81,2012-05-13
"Road-650 Red, 60",85,$100.83,2012-05-13
"Road-650 Red, 60",84,$290.22,2012-05-13
"Road-650 Red, 62",82,$299.04,2012-05-13
"Road-650 Red, 62",97,$259.50,2012-05-13
"Road-650 Red, 44",97,$116.57,2012-05-13
"Road-650 Red, 44",94,$159.85,2012-05-13
"Road-650 Red, 48",89,$106.63,2012-05-13
"Road-650 Red, 48",81,$310.56,2012-05-13
"Road-650 Red, 52",85,$113.66,2012-05-13
"Road-650 Red, 52",78,$271.50,2012-05-13
"Road-650 Black, 58",78,$291.51,2012-05-13
"Road-650 Black, 58",95,$290.84,2012-05-13
"Road-650 Black, 60",82,$101.30,2012-05-13
"Road-650 Black, 60",84,$314.75,2012-05-13
"Road-650 Black, 62",82,$288.08,2012-05-13
"Road-650 Black, 62",89,$319.44,2012-05-13
"Road-650 Black, 44",87,$108.40,2012-05-13
